descricao,ano_criacao,periodo_criacao,componentes,ch_matriz
Técnico em Multimídia Integrado - Campus Cabedelo,2016,2,"Artes, Biologia I, Educação Física I, Filosofia I, Física I, Geografia I, História I, Imagem e Vetor, Informática Básica, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Projeto Integrador I, Química I, Seminário de Iniciação à Pesquisa, Sociologia I, Áudio e Vídeo, Biologia II, Educação Física II, Filosofia II, Física II, Fundamentos e Análise da Linguagem Gráfica, Geografia II, História II, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira II, Matemática II, Produção da Imagem, Projeto Integrador II, Química II, Seminário de Iniciação à Extensão, Sociologia II, Biologia III, Composição Visual e Tipográfica, Educação Física III, Empreendedorismo, Filosofia III, Física III, História das Mídias, da Arte e do Design, Interfaces Digitais, Língua Portuguesa e Literatura Brasileira III, Matemática III, Produção de Vídeo e de Animação, Projeto Integrador III, Química III, Seminário de Orientação à Prática, Sociologia III, Língua Espanhola",2973
Modalidades de Educação Física - Campus MT,2016,1,"Educação Física I - FUTSAL, Educação Física I - HANDEBOL",100
Tecnologia em Segurança no Trabalho (2017.1),2017,1,"Desenho Técnico, Fundamentos de Segurança no Trabalho, Informática Aplicada, Matemática Aplicada, Noções de Anatomia e Fisiologia Humana, Português Instrumental, Administração Aplicada, Física Aplicada, Higiene Ocupacional I, Inglês Instrumental, Legislação Trabalhista, Leitura de Projetos, Química Aplicada, Empreendedorismo, Estatística Aplicada, Gestão Ambiental, Higiene Ocupacional II, Legislação Previdenciária, Metodologia Científica, Segurança no Trabalho na Indústria, Ergonomia, Gestão em Segurança e Saúde Ocupacional, Higiene Ocupacional III, Pesquisa Científica I, Programas de Segurança e Saúde no Trabalho, Saúde do Trabalhador, Toxicologia Aplicada, Auditorias, Perícias e Laudos, Educação em Segurança no Trabalho, Pesquisa Científica II, Primeiros Socorros, Segurança no Trabalho em Sistemas Elétricos, Segurança no Trabalho na Agricultura e na Pecuária, Segurança no Trabalho na Construção Civil, Direitos Humanos, Gerenciamento de Riscos, Instrumentação, Métodos e Técnicas de Combate a Incêndio e Explosões, Segurança no Trabalho em Condições Especiais, Segurança no Trabalho em Serviços de Saúde, Optativa (Libras)",2133
Licenciatura em Ciências Biológicas - Cabedelo (2016.1),2016,1,"Biologia e Fisiologia Celular, Fundamentos da Biologia  e Sistemática Filogenética, Fundamentos Filosóficos da Educação, Matemática Aplicada, Metodologia Científica, Português Instrumental, Química Geral, Anatomia Vegetal, Bioestatística, Ecologia, Fundamentos Sociais e Históricos da Educação, Prática de Ensino em Biologia I, Sociologia Ambiental, Zoologia dos Invertebrados, Biologia e Diversidade Vegetal, Bioquímica, Ecologia Marinha, Embriologia e Histologia Animal, Física Aplicada à Biologia, Prática de Ensino em Biologia II, Psicologia da Aprendizagem, Didática Geral, Educação Ambiental e Desenvolvimento Sustentável, Fisiologia Vegetal, Língua Brasileira de Sinais - LIBRAS, Microbiologia, Prática de Ensino em Biologia III, Zoologia dos Vertebrados, Anatomia Animal Comparada, Estágio Supervisionado I, Genética Molecular, Metodologia e Instrumentação para o Ensino, Políticas Educacionais e Gestão Escolar, Prática de Ensino em Biologia IV, Avaliação da Aprendizagem, Biotecnologia, Estágio Supervisionado II, Fisiologia Animal Comparada, Genética de Populações, Prática de Ensino em Biologia V, Estágio Supervisionado III, Ética e Meio Ambiente, Evolução e Biogeografia, Geologia e Paleontologia, Prática de Ensino em Biologia VI, Biologia da Conservação, Ecologia da Paisagem, Educação Inclusiva, Estágio Supervisionado IV, Prática de Ensino em Biologia VII, Optativa I, Optativa II",2983
Tecnologia em Design Gráfico - Cabedelo (2016.2),2016,2,"Cor Forma e Percepção, Desenho I, História da Arte, Perspectiva e Sombra, Plástica I, Produção e Interpretação de Textos, Representação Gráfica, Análise Gráfica, Computação Aplicada ao Design I, Desenho II, Fotografia I, História do Design, Metodologia de Projeto, Plástica II, Computação Aplicada ao Design II, Desenho III, Estética, Fotografia II, Planejamento Visual I, Teoria da Comunicação e da Informação, Ergonomia Informacional, Ilustração, Marketing Publicidade e Propaganda, Materiais e Processos Gráficos I, Planejamento Visual II, Tipografia, Tópicos Especiais em Design, Sociedade e Cultura, Ética e Legislação, Gestão de Projeto, Materiais e Processos Gráficos II, Metodologia Científica, Planejamento Visual III, Sinalização, Tecnologias da Imagem, Formação Empreendedora, Planejamento Visual IV, Quadrinhos, Animação e Game, Trabalho de Conclusão de Curso, Libras",2044
Tecnologia em Agroecologia - Campus Picuí,2017,1,"Bases Científicas da Agroecologia, Biologia Aplicada, Informática Básica, Inglês Instrumental, Matemática Aplicada, Metodologia Científica, Português Instrumental, Química Aplicada, Biomas e Ecologia da Caatinga, Bioquímica, Educação e Diversidade, Estatística Geral, Filosofia, Física Aplicada, Gênese, Morfologia e Classificação do Solo, Sociologia Rural, Topografia, Agroecologia Animal I, Agrometereologia, Botânica da Caatinga, Estatística Experimental, Fisiologia Vegetal, Microbiologia Agrícola, Química e Física do Solo, Relações de Gênero na Agricultura Familiar, Agricultura I, Agroecologia Animal II, Economia Solidária, Fertilidade do Solo e Nutrição de Plantas, Gestão Ambiental, Hidráulica Aplicada, Higiene e Segurança no Trabalho, Olericultura e Plantas Medicinais, Tecnologia e Produção de Sementes, Agricultura II, Agroecologia Animal III, Fruticultura Tropical, Irrigação e Drenagem, Legislação Agrária e Ambiental, Manejo Ecológico de Insetos, Doenças e Vegetação Espontânea, Políticas Públicas para Agricultura Familiar, Prevenção, Manejo e Recuperação de Áreas Degradadas, Beneficiamento e Processamento de Produtos Animais, Beneficiamento e Processamento de Produtos Vegetais, Comunicação e Métodos Participativos na Extensão Rural, Hidrologia e Gestão dos Recursos Hídricos no Semiárido, Legislação e Certificação dos Produtos de Base Ecológica, Produção de Mudas Nativas, Relações Humanas no Trabalho, Sistemas Agroflorestais na Caatinga, Vivências em Agroecologia, Espanhol Instrumental, Libras",2531
Tecnologia em Análise e Desenvolvimento de Sistemas - Monteiro,2017,1,"Inglês Instrumental I, Introdução à Computação, Matemática Básica, Português Instrumental, Programação I, Gerência da Informação, Introdução à Rede de Computadores, Matemática Aplicada à Computação, Metodologia da Pesquisa Científica, Programação II, Banco de Dados I, Estruturas de Dados e Algoritmos, Inglês Instrumental II, Padrões de Projeto, Análise e Projeto, Banco de Dados II, Processos de Desenvolvimento, Sistemas Operacionais, Análise de Algoritmos, Desenvolvimento de Aplicações Corporativas, Sociedade e Tecnologia da Informação, Técnicas de Testes, Empreendedorismo, Projeto I, Relações Humanas no Trabalho, Projeto II, Estágio Supervisionado, Libras, Trabalho de Conclusão de Curso - TCC",2069
Tecnologia em Construção de Edifícios - Monteiro,2017,1,"Física I, Informática Básica, Leitura e Produção de Textos, Matemática Básica, Química dos Materiais, CAD Básico, Desenho Técnico TCE, Estatística, Física II, Inglês Instrumental, Materiais de Construção, Argamassas e Concretos, Ciências do Ambiente, Desenho Arquitetônico, Matemática Financeira, Mecânica dos Solos e Fundações, Topografia, Estruturas de Contenção, Gestão de Empresas de Construção Civil, Instalações Hidrossanitárias e de Gás, Metodologia do Trabalho Científico, Resistência dos Materiais, Sistemas Construtivos, Construção de Metálica e de Madeira, Construções Sustentáveis, Ergonomia, Estruturas de Concreto Armado, Higiene e Segurança no Trabalho, Instalações Elétricas e Telefônicas, Relações Humanas no Trabalho, Construções Industrializadas, Especificações e Orçamentos de Obras, Gestão de Recursos Humanos, Optativa I, Patologia das Construções, Projeto e Implantação do Canteiro de Obras, Avaliação Pós-Ocupação, Gerência de Suprimentos, Gestão de Resíduos de Construção, Optativa II, Planejamento e Controle de Obras, Qualidade na Construção Civil, Empreendedorismo, Legislação Trabalhista e Previdenciária, Libras, Manutenção Predial, Marketing Imobiliário",2438
Tecnologia em Gestão Ambiental - Princesa Isabel,2017,1,"Cálculo, Ecologia Geral, Fundamentos de Gestão, Geografia, Química Geral e Ambiental, Sociedade, Ética e Meio Ambiente, Estatística, Geoprocessamento, Gestão de Laboratórios, Hidrologia, Microbiologia Ambiental, Português Instrumental, Qualidade  Ambiental, Edafologia, Gestão de Recursos Hídricos, Inglês Instrumental, Recursos Energéticos, Saúde Ambiental, Sistemas de Informações Geográficas, Técnicas  de  Análises Físicas  e  Químicas, Gerenciamento de Riscos Ambientais, Gestão de Água e Efluentes Líquidos, Gestão de Recursos Naturais, Interpolação Espacial, Licenciamento e Avaliação de Impactos, Metodologia da Pesquisa Científica, Zoneamento Ambiental, Administração de Sistemas de Informações, Direito Ambiental, Economia do Meio Ambiente, Estratégias de Educação Ambiental, Gestão Ambiental nas Cidades, Gestão de Resíduos Sólidos, Projetos Ambientais, Relações Humanas no Trabalho, Certificação e Auditoria Ambiental, Empreendedorismo, Libras, Trabalho de Conclusão de Curso",1831
Tecnologia em Agroecologia - Campus Sousa,2017,1,"Biologia Geral, Fundamentos de Cálculo, Informática Básica, Inglês Instrumental, Introdução à Agroecologia, Português Instrumental, Química Geral, Desenvolvimento Rural e Meio Ambiente, Física, Introdução à Administração e Economia Rural, Metodologia da Pesquisa Científica, Sociologia Geral, Solos, Topografia, Agroecologia Vegetal I, Agroecossistemas, Agroflorestas, Estatística Experimental, Gestão Ambiental dos Recursos Hídricos, Irrigação e Meio Ambiente, Agroecologia Animal I, Agroecologia Vegetal II, Legislação Agrária e Ambiental, Manejo de Pragas e Doenças, Organização dos Produtores Rurais, Segurança do Trabalho, Sementes, Agroecologia Animal II, Agroecologia Vegetal III, Economia Agrícola Rural, Gestão da Produção, Manejo e Recuperação de Áreas Degradadas, Meio Ambiente e Turismo Agroecológico, Processamento de Produtos Agroecológicos, Agropecuária Agroecológica no semiárido, Análise e Diagnóstico de uma unidade de produção, Extensão Rural Agroecológica, Gestão de Qualidade e Segurança em Alimentos, Planejamento e Desenvolvimento Sustentável, Relações Humanas e Ética no Trabalho, Trabalho de Conclusão de Curso, Libras",2520
Licenciatura em Química - Campus Sousa,2017,1,"Fundamentos Históricos e Filosóficos da Educação, História das Ciências, Inglês Instrumental, Introdução à Química Experimental, Matemática Básica, Português Instrumental, Química Geral, Cálculo Aplicado à Química, Fundamentos Sociopolíticos e Econômicos da Educação, Introdução à Química Experimental II, Metodologia Científica, Psicologia da Educação, Química Geral II, Cálculo Aplicado à Química II, Didática, Pesquisa em Educação Química, Prática Profissional I, Química Inorgânica I, Química Orgânica I, Física Aplicada à Química I, Prática Profissional II, Química Analítica Qualitativa, Química Inorgânica II, Química Orgânica II, Física Aplicada à Química II, Prática Profissional III, Química Analítica Quantitativa, Química Orgânica III, Quimiometria, Bioquímica, Físico-Química I, Laboratório com Materiais Alternativos I, Organização e Gestão da Educação Brasileira, Prática Profissional IV, Química Analítica Aplicada, Educação em Libras, Físico-Química II, Fundamentos e Práticas Curriculares na EJA, Laboratório com Materiais Alternativos II, Mídias Educacionais, Físico-Química III, Química Ambiental",2990
Tecnologia em Alimentos - Sousa,2017,1,"Biologia Geral, Fundamentos de Cálculo, Informática Básica, Inglês Instrumental, Matérias Primas Alimentícias, Práticas de Leitura e Escrita, Química Geral, Física Geral, Introdução à Administração e Economia, Introdução à Nutrição, Metodologia da Pesquisa Científica, MIcrobiologia I, Química Analítica, Química de Alimentos, Química Orgânica, Bioquímica de Alimentos, Estatística, Físico-Química, Microbiologia II, Operações Unitárias na Indústria de Alimentos I, Princípios da Conservação de Alimentos, Relações Humanas no Trabalho, Segurança no Trabalho, Sociologia Geral, Análise Físico-Química de Alimentos, Análise Sensorial de Alimentos, Embalagens para Alimentos, Empreendedorismo, Gestão Ambiental, Higiene e Legislação de Alimentos, Instalações Industriais, Operações Unitárias na Indústria de Alimentos II, Tecnologia de Bebidas, Tecnologia de Carnes, Tecnologia de Cereais e Panificação, Tecnologia de Leites e Derivados, Tecnologia de Pescados, Tecnologia de Vegetais, Elaboração de Projetos Industriais, Ética e Cidadania, Gestão da Qualidade, Tratamento de Resíduos da Indústria de Alimentos, Libras",2603
Técnico em Meio Ambiente Integrado - Santa Rita (2017.1),2017,1,"Artes, Biologia I, Educação Ambiental, Educação Física I, Empreendedorismo, Filosofia I, Física I, Fundamentos de Ecologia, Geografia I, Higiene e Segurança do Trabalho, História I, Informática Básica, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sociologia I, Agroecologia e Permacultura, Biologia II, Educação Física II, Filosofia II, Física II, Geografia II, Hidrologia e Poluição das Águas, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Manejo e Conservação de Solos, Matemática II, Metodologia da Pesquisa Científica, Planejamento e Gestão Ambiental, Química II, Sociologia II, Biologia III, Desenvolvimento Sustentável e Energias Renováveis, Educação Física III, Filosofia III, Física III, Geografia III, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Química Ambiental, Química III, Saneamento Ambiental e Gerenciamento de Resíduos, Sociologia III, Tópicos Especiais em Meio Ambiente, Tratamento e Reuso de Águas e Efluentes, Língua Espanhola",3307
Técnico em Informática Integrado - Santa Rita (2017.1),2015,2,"Algorítimos e Lógica de Programação, Artes, Biologia I, Educação Física I, Empreendedorismo, Filosofia I, Física I, Fundamentos de Eletricidade, Fundamentos de Informática, Geografia I, Higiene e Segurança do Trabalho, História I, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Sistemas Digitais, Sociologia I, Biologia II, Educação Física II, Estrutura de Dados, Filosofia II, Física II, Fundamentos de Hardware, Geografia II, História II, Língua Estrangeira Moderna -  Inglês I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Metodologia da Pesquisa Científica, Programação Orientada a Objetos, Química II, Sistemas Operacionais, Sociologia II, Análise e Projeto de Sistema, Banco de Dados, Biologia III, Desenvolvimento de Aplicações Web, Educação Física III, Filosofia III, Física III, Geografia III, História III, Língua Estrangeira Moderna - Inglês II, Língua Portuguesa e Literatura Brasileira III, Matemática III, Química III, Redes de Computadores, Sociologia III, Tópicos Especiais em Informática, Língua Espanhola",3308
Técnico em Guia de Turismo Subsequente ao Ensino Médio - Cabedelo Centro,2017,1,"Cidadania e Direitos Humanos, Fundamentos de Ecologia e Responsabilidade Ambiental, Fundamentos do Turismo Hospitalidade e Lazer, Geografia Aplicada ao Turismo Regional, História Aplicada ao Turismo Regional, Inglês Técnico I, Manifestações da Cultura Popular, Patrimônio Histórico-cultural, Português Aplicado, Relações Interpessoais, Segurança e Primeiros Socorros, Técnicas e Práticas de Guiamento Regional, Empreendedorismo, Espanhol Instrumental, Geografia do Brasil e América do Sul, História da Arte Aplicada ao Turismo, História do Brasil e América do Sul, Informática Básica, Inglês Técnico II, Legislação do Turismo, Metodologia da Pesquisa Científica, Operacionalização de Roteiros de Viagens, Técnicas Práticas de Guiamento Nacional, Turismo Náutico",810
Bacharelado em Medicina Veterinária - Sousa,2017,1,"Anatomia Topográfica dos Animais Domésticos I, Bioestatística Aplicada em Medicina Veterinária, Bioquímica Aplicada à Medicina Veterinária, Histologia Geral e Embriologia, Informática Aplicada à Medicina Veterinária, Introdução à Biologia Molecular e Celular, Agroecologia, Anatomia Topográfica dos Animais Domésticos II, Deontologia e Bioética, Histologia Veterinária, Metodologia Científica, Sociologia Rural, Estágio Supervisionado I, Fisiologia Veterinária, Imunologia Veterinária, Microbiologia Veterinária, Parasitologia Veterinária, Bioclimatologia, Estágio Supervisionado II, Farmacologia, Nutrição Animal, Patologia Geral, Anestesiologia Veterinária, Genética e Melhoramento Animal, Meios e Métodos de Diagnóstico (radiologia, ultrassonografia, semiologia veterinária e patologia clínica veterinária), Técnica Cirúrgica Veterinária, Economia e Administração Rural, Extensão Comunitária, Fisiopatologia da Reprodução, Forragicultura, Prod. de Rum. (Bovinocultura de corte e leite), Prod. de Rum. (ovinocaprinocultura), Epidemiologia Veterinária, Ginecologia e Obstetrícia Veterinária, Patologia e Clínica Médica de Equideos, Patologia e Clínica Médica de Ruminantes, Toxicologia Veterinária, Zoonose e Saúde Pública, Doenças Infectocontagiosas dos Animais Domésticos, Doenças Parasitárias dos Animais Domésticos, Ginecologia e Obstetrícia de caninos e felinos, Patologia Cirúrgica, Patologia e Clínica Médica de pequenos animais, Apicultura, Biotecnologia da Reprodução, Produção de Aves e Suínos, Psicultura, Tecnologia e Inspeção de carne e pescado (TIPOA), Tecnologia e Inspeção de leite e derivados (TIPOA), Estágio Supervisionado III, Trabalho de Conclusão de Curso - TCC, Administração do Agronegócio, Análise Físico-química de alimentos, Anatomia e Fisiologia das Aves Domésticas, Aquicultura, Ciências do Ambiente, Clínica Cirúrgica de grandes animais, Clínica Cirúrgica de pequenos animais, Comportamento e Bem-estar animal, Controle de qualidade dos produtos de origem animal, Controle microbiológico de alimentos, Diagnóstico Post-morten, Doenças de aves e suínos, Doenças de Pequenos Ruminantes, Equideocultura, Estatística Experimental, Ezoognósia e Julgamento de animais de produção, Fisiologia do Crescimento e Desenvolvimento de Animais de Interesse Zootécnico, Fundamentos da homeopatia, Genética Veterinária, Higiene e Legislação de Alimentos, Histopatologia veterinária, Leitura e Produção Textual, Libras, Línguas (espanhol), Línguas (Inglês), Manejo de Pastagens Nativas, Medicina de Animais Silvestres, Medicina Veterinária Legal, Métodos de diagnóstico sorológico, Microbiologia de alimentos, Neonatologia em Grandes Animais, Neonatologia em pequenos animais, Ortopedia veterinária, Patologia Especial, Planejamento Empresa Rural, Podologia em grandes animais, Prática Desportiva, Prática Hospitalar I, Prática Hospitalar II, Práticas em laboratório clínico, Relações Humanas e Éticas no Trabalho, Técnicas de diagnóstico em parasitologia veterinária, Técnicas Histológicas, Tecnologia e Inspeção de ovos e mel (TIPOA)",4400
Licenciatura em Educação Física - Campus Sousa,2017,1,"Anatomia Aplicada à Educação Física, Filosofia da Educação, Fundamentos Acadêmicos e Profissionais da Educação Física, Jogos, Brinquedos e Brincadeiras, Língua Portuguesa, Metodologia do Trabalho Acadêmico, Sociologia da Educação, Bases Biológicas aplicadas à Educação Física, Crescimento e Desenvolvimento Humano, Didática Geral, Fundamentos Histórico-pedagógico da Educação Física, História da Educação, Inglês, Pedagogia dos Esportes Individuais, Projetos Integradores I: Educação e Ludicidade, Psicologia da Educação, Aprendizagem Motora, Atletismo, Didática da Educação Física, Educação em Direitos Humanos, Fisiologia Humana, Fundamentos Psicológicos da Educação Física, Metodologia do Ensino da Educação Física I, Socorros e Urgências, Bioquímica e nutrição aplicada à educação física, Fisiologia do Exercício, Metodologia da Pesquisa em Educação Física, Metodologia do Ensino da Educação Física II, Pedagogia dos Esportes Coletivos, Políticas e Gestão da Educação, Projetos Integradores II: Promoção da Saúde na Escola, Basquetebol, Cinesiologia, Educação e Diversidade, Estágio Supervisionado I, Futsal e Futebol de Campo, Metodologia do Treinamento Desportivo, Mídias e Novas Tecnologias na Educação, Sociologia e Filosofia da Educação Física, Atividades Rítmicas e Expressivas, Bioestatística, Educação Física e Saúde, Estágio Supervisionado II, Libras, Projetos Integradores III: Esporte e Linguagem Corporal, Seminário de Conclusão de Curso, Voleibol, Estágio Supervisionado III, Ginástica Artística e Rítmica, Handebol, Lutas, Natação, Organização de Eventos em Educação Física, Pedagogia do Lazer, Educação Física e Diversidade Educacional, Educação Física Escolar Adaptada, Estágio Supervisionado IV, Libras aplicada à Educação Física, Meio Ambiente e Esportes de Aventura, Projetos Integradores IV: Educação Física e Promoção Social, Trabalho de Conclusão de Curso, Avaliação e Prescrição do Exercício, Legislação Aplicada à Educação Física Escolar, Práticas Corporais Alternativas, Psicomotricidade, Treinamento de Força",2770
Modalidades de Educação Física - Campus CG,2016,1,"Educação Física - BASQUETE, Educação Física - BASQUETE FEMININO, Educação Física - BASQUETE MASCULINO, Educação Física - CONDICIONAMENTO FÍSICO, Educação Física - DANÇA, Educação Física - FUTSAL, Educação Física - FUTSAL FEMININO, Educação Física - FUTSAL MASCULINO, Educação Física - HANDEBOL, Educação Física - HANDEBOL FEMININO, Educação Física - HANDEBOL MASCULINO, Educação Física - JIU-JITSU, Educação Física - JOGOS, Educação Física - PROGRESSÃO PARCIAL, Educação Física - TÊNIS DE MESA, Educação Física - VOLEIBOL, Educação Física - VOLEIBOL FEMININO, Educação Física - VOLEIBOL MASCULINO, Educação Física - XADREZ",100
Curso de Formação Inicial e Continuada (FIC) em Gestão da Qualidade e Empreendimentos Turísticos ,2016,2,"Comunicação e Expressão, Empreendedorismo, Ética e Relações Interpessoais, Ferramentas da Qualidade, Fundamentos do turismo e da hospitalidade, Gestão da Qualidade em Serviços, Gestão de Empreendimentos Turísticos, Inglês Instrumental, Marketing Turístico",230
Técnico em Recursos Pesqueiros Integrado (PROEJA) - Cabedelo,2016,1,"Artes, Biologia I, Física I, Geografia I, História I, Introdução à Pesca e Aquicultura, Língua Portuguesa e Literatura Brasileira I, Matemática I, Química I, Biologia II, Física II, Geografia II, História II, Informática Básica I, Língua Portuguesa e Literatura Brasileira II, Matemática II, Oceanografia e Meteorologia, Química II, Biologia III, Física III, História III, Instalações Aquícolas, Limnologia, Língua Portuguesa e Literatura Brasileira III, Máquinas e Motores Marítimos, Matemática III, Química III, Sociologia/Filosofia I, Artes de Pesca, Biologia IV, Extensão Pesqueira, Física IV, Língua Estrangeira Moderna (Inglês) I, Língua Portuguesa e Literatura Brasileira IV, Matemática IV, Navegação, Piscicultura, Química IV, Sociologia/Filosofia II, Aquariofilia, Aquicultura Especial, Beneficiamento (I) e Conservação do Pescado, Controle de Qualidade do Pescado, Empreendedorismo, Fisioecologia dos Animais Aquáticos, Legislação Pesqueira, Metodologia do Trabalho Científico, Relações Interpessoais no Trabalho, Beneficiamento (II) e Conservação do Pescado, Biologia Marinha, Carcinicultura, Dinâmica de Populações Pesqueiras, Ética Profissional, Higiene e Segurança no Trabalho, Informática Básica II, Língua Estrangeira Moderna (Inglês) II, Nutrição de Animais Aquáticos, Tecnologia Pesqueira",2496
Tecnologia em Geoprocessamento - João Pessoa - PPC 2017,2002,1,"Desenho Técnico, Inglês Instrumental, Instrumentos de Medição, Introdução ao Geoprocessamento, Lógica de Programação e Algorítimos, Matemática Básica, Português Instrumental, Banco de Dados, Cálculo Diferencial e Integral I, Desenho Auxiliado por Computador, Física Aplicada, Geografia, Introdução ao SIG, Topografia I, Algebra Linear, Banco de Dados Geográficos, Linguagem de Programação, Probabilidade e Estatística, Representações Cartográficas, SIG, Topografia II, Automação Topográfica, Cadastro Territorial I, Cartografia Temática, Fotogrametria, Fundamentos da Metodologia Científica, Posicionamento por Satélites, Sensoriamento Remoto, Ajustamento de Observações, Análise Espacial, Cadastro Territorial II, Métodos e Técnicas de Pesquisa, SIG Livre, SIG-WEB, Sociologia e Meio Ambiente, Empreendedorismo, Ética e Direitos Humanos, Gestão Ambiental, Gestão de Projetos, Planejamento Físico-Territorial, Programação Aplicada ao SIG, Psicologia do Trabalho, Libras",2419
Tecnologia em Construção de Edifícios - João Pessoa - PPC2017,1999,2,"Cálculo Diferencial e Integral I, Desenho Auxiliado por Computador CAD, Desenho Técnico TCE, Fundamentos da Química, Gestão da Saúde e Segurança do Trabalho, Português Instrumental TCE, Topografia, Desenho Arquitetônico, Estatística, Fundamentos da Metodologia da Pesquisa Científica TCE, Matemática Financeira, Materiais de Construção I, Mecânica e Termodinâmica, Psicologia do Trabalho TCE, Eletricidade e Eletromagnetismo, Estabilidade das Construções, Inglês Instrumental TCE, Instalações Hidráulicas Prediais, Materiais de Construção II, Sistemas Construtivos, Construções de Concreto Armado, Especificações e Orçamentos, Implantação do Canteiro de Obras, Instalações Elétricas Prediais, Mecânica dos Solos e Fundações, Vedações e Revestimentos, Estruturas Metálicas e de Madeira, Gerência de Suprimentos, Legislação Social TCE, Métodos e Técnicas de Pesquisa TCE, Patologia das Construções, Planejamento e Controle de Obras, Qualidade na Construção Civil, Administração de Pessoas TCE, Avaliação Pós-Ocupação, Construções Industrializadas, Empreendedorismo, Ergonomia TCE, Gerenciamento de Resíduos Sólidos da Construção, Impermeabilização e Proteção de Edifícios, Marketing Imobiliário",2419
Tecnologia em Sistemas de Telecomunicações - João Pessoa - PPC2017,2000,1,"Álgebra Vetorial - EE, Cálculo Diferencial e Integral I - EE, Eletricidade e Magnetismo, Eletrônica Básica, Inglês instrumental e Técnico, Lógica de Programação e Algorítimos, Campos e Ondas, Circuitos Lógicos - EE, Eletrônica Analógica, Matemática Aplicada, Programação Estruturada, Algebra Linear TLC, Análise de Circuitos Eletrônicos, Fundamentos da Metodologia Científica TLC, Métodos Numéricos, Sistemas de Comunicação, Teoria da Estatística, Estruturas Guiantes e Dispositivos de Microondas, Gestão de Projetos TLC, Introdução às Redes de Computadores, Métodos e Técnicas de Pesquisa TLC, Processamento Digital de Sinais - EE, Teoria da Informação, Antenas e Propagação TLC, Comunicações Digitais, Comunicações Ópticas, Protocolos e Interconexão de Redes de Computadores, Sistemas de Radiodifusão - EE, Cabeamento Estruturado, Comunicações Móveis, Empreendedorismo TLC, Legislação em Telecomunicações, Projetos de Sistemas de Comunicação, Psicologia do Trabalho, Telefonia TLC, Libras",2432
Tecnologia em Redes de Computadores - João Pessoa - PPC 2017,1999,1,"Algoritmo e Programação Estruturada - RC, Cálculo Diferencial e Integral I - RC, Eletrônica Digital - RC, Fundamentos da Computação - RC, Inglês Instrumental - RC, Práticas de Sistemas Abertos, Arquitetura de Computadores - RC, Estruturas de Dados - RC, Física Aplicada à Computação - RC, Fundamentos de Redes de Computadores - RC, Laboratório de Redes de Computadores, Português Instrumental - RC, Fundamentos da Metodologia Científica - RC, Legislação para Informática - RC, Programação de Script, Programação Orientada a Objetos - RC, Protocolos de Interconexão de Redes de Computadores - RC, Sistemas Operacionais - RC, Administração de Sistemas Abertos, Arquitetura de Sistemas de Comunicação - RC, Cabeamento Estruturado - RC, Desenvolvimento Web, Probabilidade e Estatística - RC, Administração de Ativos de Redes, Administração de Sistemas Proprietários, Métodos e Técnicas de Pesquisa - RC, Psicologia do Trabalho - RC, Redes sem Fio, Segurança de Redes de Computadores - RC, Ciência, Tecnologia e Meio Ambiente, Empreendedorismo - RC, Ética e Direitos Humanos, Prática em Segurança de Redes, Projetos de Redes de Computadores, Redes Convergentes, Libras",2383
Tecnologia em Sistemas para Internet - João Pessoa - PPC 2017,2003,1,"Algoritmo e Programação Estruturada, Fundamentos da Computação, Fundamentos de Redes de Computadores, Linguagens de Marcação, Língua Portuguesa - SI, Matemática Aplicada a Sistemas para Internet, Banco de Dados I, Ciência, Tecnologia e Meio Ambiente, Estruturas de Dados, Fundamentos da Metodologia, Linguagens de Script, Protocolos de Interconexão de Redes de Computadores, Sistemas Operacionais, Banco de Dados II, Interação Humano-Computador, Língua Inglesa para Fins Específicos SI, Probabilidade e Estatística, Programação Orientada a Objetos, Psicologia do Trabalho SI, Análise e Projeto de Sistemas, Ética e Direitos Humanos, Legislação Social SI, Métodos e Técnicas de Pesquisa SI, Persistência de Objetos, Programação para Web I, Segurança de Dados, Comércio Eletrônico - SI, Empreendedorismo SI, Gerência de Projetos de Software, Padrões de Projeto de Software, Programação para Dispositivos Móveis, Programação para Web II, Desenvolvimento Ágil com Ferramenta RAD, Desenvolvimento e Execução de Projeto de Software, Inteligência Empresarial, Programação Distribuída, Tópicos Especiais, Libras SI",2454
